id,name
1,Бикини Бразилиан (глубокое)
2,Бикини классическое
3,Ноги полностью
4,Ноги до колен
5,Ноги выше колен
6,Пальцы ног
7,Руки полностью
8,Руки до локтя
9,Руки выше логтя
10,Подмышечные впадины
11,Лицо полностью
12,Брови
13,Лоб
14,Губы
15,Подбородок
16,Стороны лица
17,Нос
18,Ягодицы
19,Спина
20,Живот
21,Белая линия живота
22,Поясница
23,Бикини Голивуд (глубокое)
24,Бикини Speedo
25,Ступни и пальцы ног
26,Кисти и пальцы рук
27,Окантовка бороды
28,Грудь
29,Плечи
30,Шея
31,Спина полностью
32,Живот полностью
33,Уши
